Bias, Current, error
0.5597,1.70046,0.07456
0.5637,1.72692,0.07583
0.5677,1.75365,0.07714
0.5717,1.78183,0.07861
0.5757,1.80928,0.08005
0.5797,1.83753,0.08175
0.5837,1.86513,0.08335
0.5877,1.89417,0.08493
0.5917,1.92304,0.08627
0.5957,1.95265,0.08765
0.5997,1.98302,0.08906
0.6037,2.01351,0.09067
0.6077,2.04528,0.09203
0.6117,2.07668,0.09384
0.6157,2.10939,0.09596
0.6197,2.14387,0.09841
0.6237,2.17811,0.10086
0.6277,2.21477,0.10343
0.6317,2.24897,0.10593
0.6357,2.28579,0.10815
0.6397,2.32102,0.11011
0.6437,2.3567,0.11223
0.6477,2.3946,0.11427
0.6517,2.43036,0.1165
0.6557,2.46704,0.11875
0.6597,2.50297,0.12103
0.6637,2.54221,0.12341
0.6677,2.58103,0.1257
0.6717,2.61921,0.12782
0.6757,2.65648,0.1299
0.6797,2.69576,0.13211
0.6837,2.73671,0.13433
0.6877,2.77971,0.1365
0.6917,2.82356,0.13843
0.6957,2.86442,0.14023
0.6997,2.90763,0.14249
0.7037,2.95419,0.14475
0.7077,3.0003,0.14661
0.7117,3.04305,0.14783
0.7157,3.08456,0.14942
0.7197,3.12857,0.15132
0.7237,3.17512,0.15344
0.7277,3.22198,0.15554
0.7317,3.26629,0.15766
0.7357,3.30721,0.15953
0.7397,3.34901,0.16156
0.7437,3.393,0.164
0.7477,3.44012,0.16749
0.7517,3.48728,0.17036
0.7557,3.53519,0.17279
0.7597,3.58265,0.17559
0.7637,3.63246,0.17885
0.7677,3.68501,0.18213
0.7717,3.73858,0.18533
0.7757,3.79228,0.18837
0.7797,3.84595,0.19127
0.7837,3.90104,0.19369
0.7877,3.95576,0.19589
0.7917,4.01208,0.19807
0.7957,4.06836,0.19987
0.7997,4.12442,0.20128
0.8037,4.17987,0.20307
0.8077,4.24176,0.20481
0.8117,4.30319,0.2068
0.8157,4.36728,0.20932
0.8197,4.43271,0.21194
0.8237,4.49825,0.21462
0.8277,4.57476,0.21679
0.8317,4.64344,0.22029
0.8357,4.7124,0.22347
0.8397,4.78212,0.2269
