Bias,Current,error
0.7557,6.15245,0.33539
0.7597,6.19918,0.33457
0.7637,6.24376,0.33367
0.7677,6.28886,0.33244
0.7717,6.33539,0.33126
0.7757,6.37615,0.33012
0.7797,6.41671,0.3288
0.7837,6.45624,0.3275
0.7877,6.50027,0.32616
0.7917,6.54452,0.32479
0.7957,6.58787,0.32352
0.7997,6.63619,0.32224
0.8037,6.68336,0.3211
0.8077,6.73272,0.32015
0.8117,6.77877,0.31935
0.8157,6.82558,0.31871
0.8197,6.87489,0.3182
0.8237,6.92625,0.31778
0.8277,6.97631,0.31741
0.8317,7.02898,0.31651
0.8357,7.08024,0.31549
0.8397,7.12651,0.31491
0.84371,7.17388,0.31434
0.84771,7.22011,0.3138
0.85171,7.26445,0.31332
0.85571,7.30913,0.31285
0.85971,7.35061,0.31249
0.8637,7.39286,0.31206
0.8677,7.4329,0.3117
0.8717,7.46667,0.31123
0.8757,7.50342,0.3108
0.8797,7.53848,0.3101
0.8837,7.5735,0.3093
0.8877,7.60752,0.30841
0.8917,7.64081,0.30734
0.8957,7.67078,0.30619
0.8997,7.70323,0.30475
0.9037,7.73504,0.30311
0.9077,7.76968,0.30115
0.9117,7.8069,0.29885
0.9157,7.84261,0.29679
0.9197,7.87953,0.29485
0.92371,7.91127,0.29272
0.92771,7.948,0.28997
0.93171,7.98477,0.28719
0.93571,8.01887,0.28445
0.93971,8.05036,0.28203
0.94371,8.08501,0.27952
0.94771,8.11701,0.27725
0.95171,8.14915,0.27516
0.95571,8.18206,0.27312
0.95971,8.21392,0.27119
0.96371,8.24701,0.26945
0.96771,8.27574,0.26765
0.97171,8.30553,0.2657
0.97571,8.33817,0.26358
0.97971,8.37176,0.2614
0.98371,8.40192,0.25943
0.98771,8.43035,0.2578
0.99171,8.4576,0.25618
0.99571,8.48448,0.25451
0.99971,8.50937,0.25289
1.00371,8.53448,0.25131
1.00771,8.55866,0.24969
1.01171,8.58372,0.24803
1.01571,8.6099,0.2462
1.01971,8.63728,0.2441
1.02371,8.66071,0.24212
1.02771,8.68367,0.24006
1.03171,8.70531,0.2383
1.03571,8.72673,0.23663
1.03971,8.74663,0.23483
1.04371,8.76647,0.23293
1.04771,8.7834,0.2311
1.05171,8.80012,0.2293
1.05571,8.8155,0.22759
1.05971,8.83131,0.22568
1.06371,8.84828,0.22383
1.06771,8.86635,0.22186
1.07171,8.88362,0.21987
1.07571,8.90173,0.21772
1.07971,8.91918,0.21585
1.08371,8.94339,0.21229
1.08771,8.97076,0.20832
1.09171,8.99886,0.20443
1.09571,9.0269,0.2008
1.09971,9.05797,0.19682
1.10371,9.08983,0.19291
1.10771,9.11563,0.18924
1.11171,9.13927,0.18563
1.11571,9.16533,0.18167
1.11971,9.19027,0.17801
1.12371,9.21452,0.17451
1.12771,9.23585,0.17163
